minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
36,21,0.01,12,0.266503845101715,0.482342770559008,0.03432152818323
37,21,0.0243740855494423,5,0.386279040961935,0.519503779682911,0.0377188581822094
38,21,0.0158227715837251,8,0.320854831528344,0.507149544383477,0.0364426977216628
39,21,0.0158227715837251,8,0.320854831528344,0.50692181162131,0.0368629638803807
40,21,0.0243740855494423,5,0.386279040961935,0.527314510138733,0.0370995576103493
20,22,0.0158227715837251,8,0.320854831528344,0.53445260984862,0.0379696733655747
21,22,0.0113197934801584,12,0.264490970177282,0.508186755243603,0.03410990411658
22,22,0.0138207363616421,9,0.305032059944618,0.514378949612244,0.0361205818408895
23,22,0.01,13,0.253171176697124,0.5086729207213,0.0355464938172336
24,22,0.0113197934801584,12,0.264490970177282,0.520622235799141,0.0361881555090466
25,22,0.01,13,0.253171176697124,0.498012489672729,0.0336427342512437
26,22,0.0133326684045915,11,0.277823638581874,0.502349213125584,0.0341001110553251
27,22,0.0158227715837251,8,0.320854831528344,0.518340175192411,0.0376806021754408
28,22,0.0138207363616421,9,0.305032059944618,0.513141233729897,0.0336950986416756
29,22,0.01,12,0.266503845101715,0.486771139273069,0.0327965058598085
30,22,0.01,12,0.266503845101715,0.48019120912265,0.0369707199673835
31,22,0.0181887244195162,7,0.33904355594786,0.513051691740228,0.035684041968134
32,22,0.01,12,0.266503845101715,0.535269344133258,0.040473562842966
33,22,0.01,12,0.266503845101715,0.498717356484711,0.034476958970947
34,22,0.01,12,0.266503845101715,0.511268149678091,0.0381974501831473
35,22,0.01,12,0.266503845101715,0.497142623149542,0.0348733148227069
36,22,0.01,12,0.266503845101715,0.527449006892952,0.0362630927534621
37,22,0.01,12,0.266503845101715,0.548177496787622,0.0403939434962804
38,22,0.0138207363616421,9,0.305032059944618,0.487980139528572,0.0335914126279305
39,22,0.01,12,0.266503845101715,0.550415296603017,0.0358614572684463
40,22,0.0133876850011026,10,0.291211323582976,0.511932121916756,0.0358735964100124
20,23,0.0243740855494423,5,0.386279040961935,0.528889964988621,0.039740061136781
21,23,0.01,13,0.253171176697124,0.517625676600897,0.0323249090144849
22,23,0.0181887244195162,7,0.33904355594786,0.510476692370891,0.0347142060847415
23,23,0.0133876850011026,10,0.291211323582976,0.539640290806226,0.0417498459076215
24,23,0.0113197934801584,12,0.264490970177282,0.531970801160168,0.0373271126213105
25,23,0.0243740855494423,5,0.386279040961935,0.54027868742883,0.0379506402460918
26,23,0.0228613994646326,6,0.361904955412492,0.538678732070759,0.0391709288941623
27,23,0.0297778920269983,4,0.416056932988933,0.531448228617647,0.0400990457396652
28,23,0.0158227715837251,8,0.320854831528344,0.473990855808756,0.0309151342944645
29,23,0.0133876850011026,10,0.291211323582976,0.528115300415352,0.0344292901592586
30,23,0.0181887244195162,7,0.33904355594786,0.494446365118551,0.0339181537705834
31,23,0.0158227715837251,8,0.320854831528344,0.519943453292879,0.0352089048139142
32,23,0.0243740855494423,5,0.386279040961935,0.535587781850358,0.0381593633127258
33,23,0.01,12,0.266503845101715,0.485030218733741,0.0345357209236091
34,23,0.01,12,0.266503845101715,0.530777335217303,0.0394146240992741
35,23,0.01,12,0.266503845101715,0.496648639955267,0.032576255532444
36,23,0.0158227715837251,8,0.320854831528344,0.512284999936585,0.0382477368495339
37,23,0.01,12,0.266503845101715,0.494644273806019,0.0341193268173881
38,23,0.01,12,0.266503845101715,0.48774152941198,0.0315237614531652
39,23,0.0113197934801584,11,0.277823638581874,0.542345789862826,0.0375788179307348
40,23,0.0133876850011026,10,0.291211323582976,0.539827045657689,0.0403429503804056
20,24,0.01,13,0.253171176697124,0.505182883158795,0.0345862781657069
21,24,0.0133326684045915,11,0.277823638581874,0.549059876976487,0.0423855674905769
22,24,0.0113197934801584,12,0.264490970177282,0.532894755062504,0.0384526092941191
23,24,0.0181887244195162,7,0.33904355594786,0.490196333088516,0.0334014347198655
24,24,0.01,13,0.253171176697124,0.515231059386607,0.0355314410615261
25,24,0.0133876850011026,10,0.291211323582976,0.503164999494916,0.033369284285053
26,24,0.01,13,0.253171176697124,0.503385680660206,0.0328138219215317
27,24,0.0228613994646326,6,0.361904955412492,0.549134726529044,0.0401682743118336
28,24,0.01,13,0.253171176697124,0.552577769974945,0.0372888861320595
