nbagg,rmse
10,53841.8344026135
12,48804.7302489636
14,51411.0658447807
16,49740.5609938427
18,49200.9816454861
20,48737.0396033046
22,47318.5451586288
24,47698.8359544832
26,47334.7608111151
28,48846.8603077146
30,47504.8961516522
32,47034.7314371844
34,46018.0852747536
36,46794.3001823871
38,47300.3563753937
40,47002.184076984
42,46429.2683104727
44,46144.0279599063
46,46054.9998603354
48,46146.1685317159
50,46909.749719249
52,45492.0429750891
54,45286.9190634174
56,45923.0375380743
58,43437.6785975059
60,45721.8266693749
62,45882.8351302183
64,45367.5725176732
66,45823.63699883
68,45703.8318366233
70,46416.2080867028
72,45275.8280181987
74,45385.8950900504
76,45317.0320731617
78,45656.3651910516
80,46099.6689329659
82,45918.0655469545
84,46542.9243330244
86,45100.1806330939
88,45463.8464000743
90,44304.4012815625
92,45381.5322171266
94,45916.4127859036
96,44492.4857177223
98,44962.7523194415
100,44185.8833003713
102,44686.2750480735
104,45532.1968186977
106,45519.594715394
108,45093.555231215
110,45509.850125523
112,44700.9954894212
114,45196.4876430987
116,45410.463775323
118,44586.4399143462
120,44550.9069840887
122,45726.1108424621
124,44908.4705040967
126,45287.9205435062
128,45230.866612504
130,45559.2773798996
132,43811.5974070769
134,45641.3455035988
136,45067.9062043731
138,45066.1532969047
140,45125.7430015235
142,44162.0456107234
144,45143.2408279046
146,45341.1598993643
148,45286.4836299438
150,44902.5693620217
152,45308.2618206698
154,45044.4921502702
156,45078.9750057976
158,45067.9715670934
160,45255.2239953951
162,45010.5328357861
164,46039.8152017309
166,44953.5332269009
168,45356.6904439396
170,45039.7795162083
172,44876.7372394809
174,45436.292924362
176,45429.9637293343
178,45082.5402451934
180,44279.0812145978
182,44962.0178823977
184,44532.6281342596
186,45573.2785934209
188,45269.7389176422
190,44698.8715581898
192,45509.5717225125
194,45356.8355981844
196,44536.5278306802
198,44998.6241167597
200,45299.9021574851
