splitrule,mtry,min.node.size,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
variance,800,8,119196.044685338,0.812679716496159,71322.5200439423,16850.4841279217,0.0335144764026989,10482.0353019339
variance,800,10,118340.348054643,0.815438613448988,71214.8080669054,15011.0034908363,0.0284349253753879,9443.87553052636
variance,850,6,119879.544133249,0.810045038112251,72187.3487396474,14799.9603838532,0.0282533259026335,10029.7665784326
variance,850,8,119665.97918266,0.810439044853435,71809.539079851,17274.8838115391,0.0352888260974063,10949.6208040069
variance,850,10,119697.62990501,0.810666812084391,72064.8526636338,16678.5641997825,0.0338143751980915,10904.1691676172
variance,900,6,119447.600203042,0.810598809903598,71536.1384331122,17511.176154334,0.0367485262216227,11169.4582960293
variance,900,8,119132.655778538,0.812060859229287,71371.0667083394,16679.9987778988,0.0341263742409482,10483.5695891802
variance,900,10,118909.709142266,0.811808822670752,71316.4024035053,19114.2253512935,0.0416451938866508,11279.4130784566
variance,950,6,118852.354281362,0.811945144864358,71454.625626573,18208.7609899035,0.0385271797856784,12062.2897489393
variance,950,8,121454.697713447,0.804002383164588,72297.7519771198,17360.0070411325,0.0367091546466324,11405.6099812366
variance,950,10,118054.360149121,0.815417859651963,70924.6718210253,18094.8935906397,0.0374945302924982,11120.8385212377
variance,1000,6,119121.381021476,0.811742978234742,71978.5302919512,17005.8166317972,0.0351369611044493,10737.9534209799
variance,1000,8,120336.711637947,0.806600329945531,72332.8578303482,18579.6266151624,0.0411741757883101,12247.4602043472
variance,1000,10,118839.090855307,0.812818791399479,71345.51447727,16017.9904554508,0.032172974173471,10230.9882833578
