ntree,mtry,sample.fraction,min.node.size,rmse
200,34,0.8,8,131862.250721414
200,36,0.8,8,135798.103895947
200,38,0.8,8,130379.248309389
200,40,0.8,8,129310.365175793
200,42,0.8,8,128105.122774949
200,44,0.8,8,127979.152505815
200,46,0.8,8,128713.554188207
200,48,0.8,8,127903.228869365
200,50,0.8,8,127632.085608644
200,10,0.9,8,145390.577250016
200,12,0.9,8,143442.706053379
200,14,0.9,8,144279.177824993
200,16,0.9,8,138809.482488173
200,18,0.9,8,137575.355667589
200,20,0.9,8,139399.279078338
200,22,0.9,8,134305.383466048
200,24,0.9,8,133602.341622713
200,26,0.9,8,134169.696374205
200,28,0.9,8,131405.9651111
200,30,0.9,8,131459.026144276
200,32,0.9,8,131541.568454307
200,34,0.9,8,130215.139889514
200,36,0.9,8,130340.762571053
200,38,0.9,8,127376.370808225
200,40,0.9,8,129399.641149696
200,42,0.9,8,128713.843205054
200,44,0.9,8,128424.582046546
200,46,0.9,8,127687.666544671
200,48,0.9,8,125494.054433282
200,50,0.9,8,128908.924853058
200,10,1,8,143899.70085953
200,12,1,8,145117.95119586
200,14,1,8,143774.666093576
200,16,1,8,138574.646661312
200,18,1,8,138652.564175755
200,20,1,8,135221.891377687
200,22,1,8,133160.459946734
200,24,1,8,132988.389228169
200,26,1,8,133214.283503181
200,28,1,8,132119.727775271
200,30,1,8,132223.33149984
200,32,1,8,131380.810519744
200,34,1,8,132096.853766821
200,36,1,8,131762.148211618
200,38,1,8,127144.776071836
200,40,1,8,128151.501690846
200,42,1,8,128568.65966687
200,44,1,8,128668.513950546
200,46,1,8,123797.540022932
200,48,1,8,126996.464895608
200,50,1,8,126229.231230929
200,10,0.5,10,152806.044103772
200,12,0.5,10,147222.217847982
200,14,0.5,10,146446.077575253
200,16,0.5,10,144903.915727003
200,18,0.5,10,143212.745182384
200,20,0.5,10,144171.786651438
200,22,0.5,10,144136.255500533
200,24,0.5,10,141381.476469843
200,26,0.5,10,139001.232749264
200,28,0.5,10,138224.428856462
200,30,0.5,10,133258.273958892
200,32,0.5,10,134520.603939542
200,34,0.5,10,135266.82911902
200,36,0.5,10,134301.328063789
200,38,0.5,10,134825.290589083
200,40,0.5,10,133242.247656672
200,42,0.5,10,134674.318139117
200,44,0.5,10,133019.604879051
200,46,0.5,10,130327.749461968
200,48,0.5,10,130570.433827333
200,50,0.5,10,131548.562102434
200,10,0.6,10,153255.554320273
200,12,0.6,10,147007.532883167
200,14,0.6,10,144711.015570962
200,16,0.6,10,143623.857307338
200,18,0.6,10,141400.947730608
