minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
31,24,0.01,9,0.21016683790222,0.339872651388337,0.0271160905841133
32,24,0.01,9,0.21016683790222,0.357428467360417,0.0419348291414321
33,24,0.0108654833319461,7,0.231835182631877,0.33754472367894,0.0307232132241212
34,24,0.01,9,0.21016683790222,0.333248765366783,0.0332520707407504
35,24,0.0108654833319461,7,0.231835182631877,0.36503467703643,0.0474262242369867
36,24,0.0108654833319461,7,0.231835182631877,0.365314469336276,0.0448102083805196
37,24,0.0108654833319461,7,0.231835182631877,0.343264303537376,0.035277380203603
38,24,0.01,9,0.21016683790222,0.328617354275422,0.0306910344533383
39,24,0.01,9,0.21016683790222,0.337970892689486,0.0294152906489302
40,24,0.01,9,0.21016683790222,0.324334098270831,0.0345298310401633
20,25,0.01,9,0.21016683790222,0.343907243929076,0.0421632845575302
21,25,0.01,9,0.21016683790222,0.347445127319793,0.0392112814818541
22,25,0.0108654833319461,7,0.231835182631877,0.390105348716524,0.0546642072156171
23,25,0.01,9,0.21016683790222,0.377112815842105,0.0531432836838789
24,25,0.01,9,0.21016683790222,0.322558391711319,0.0355056355154085
25,25,0.01,9,0.21016683790222,0.333820891639878,0.0322542771013425
26,25,0.0109316456393027,6,0.24276682827118,0.357574387299929,0.0359968327721528
27,25,0.01,9,0.21016683790222,0.357442046767705,0.0444582184718794
28,25,0.01,9,0.21016683790222,0.321022882670884,0.031228451928376
29,25,0.01,9,0.21016683790222,0.336800810344213,0.0345602396808917
30,25,0.01,9,0.21016683790222,0.354330483826344,0.0403772600672835
31,25,0.01,9,0.21016683790222,0.377512367511702,0.0453664394971563
32,25,0.0108654833319461,7,0.231835182631877,0.365448672031462,0.0414068152016124
33,25,0.0109316456393027,6,0.24276682827118,0.356549013031128,0.0323167720686085
34,25,0.0108028613977113,8,0.220969699299931,0.346198149490255,0.0299669798257105
35,25,0.01,9,0.21016683790222,0.315557326228207,0.031109241894637
36,25,0.01,9,0.21016683790222,0.353565735415127,0.0293839529725173
37,25,0.01,9,0.21016683790222,0.351417812222888,0.037763601168572
38,25,0.01,9,0.21016683790222,0.352821767444129,0.0363227796499274
39,25,0.01,9,0.21016683790222,0.356871119750986,0.0304120176407082
40,25,0.01,9,0.21016683790222,0.344852487227769,0.0372546489652654
20,26,0.01,9,0.21016683790222,0.346393113361438,0.0377013983956948
21,26,0.01,9,0.21016683790222,0.325482961610164,0.0347938753488148
22,26,0.0108654833319461,7,0.231835182631877,0.321574964224476,0.0369668159522957
23,26,0.0109316456393027,6,0.24276682827118,0.348872870028801,0.0352353370283854
24,26,0.0108654833319461,7,0.231835182631877,0.347469000323385,0.0429691419605397
25,26,0.01,9,0.21016683790222,0.327619786281739,0.0417047725216571
26,26,0.01,9,0.21016683790222,0.335779611395644,0.0325754657657169
27,26,0.01,9,0.21016683790222,0.338202682847606,0.0413370627211569
28,26,0.01,9,0.21016683790222,0.31254655162626,0.0269351517718821
29,26,0.01,9,0.21016683790222,0.34299980486813,0.0425291244928007
30,26,0.01,9,0.21016683790222,0.373363089387536,0.0498854136949811
31,26,0.01,9,0.21016683790222,0.361697128665732,0.0341434678816702
32,26,0.0108654833319461,7,0.231835182631877,0.373028770971541,0.0412267302377283
33,26,0.0108654833319461,7,0.231835182631877,0.328465277956847,0.0291725767442429
34,26,0.01,9,0.21016683790222,0.34123358669842,0.0298534856300367
35,26,0.01,9,0.21016683790222,0.37982590660896,0.0384772565246149
36,26,0.01,9,0.21016683790222,0.354751059535208,0.0434213604148493
37,26,0.01,9,0.21016683790222,0.349451975835749,0.0351733156334051
38,26,0.01,9,0.21016683790222,0.340647429133459,0.0352223139514286
39,26,0.0108654833319461,7,0.231835182631877,0.338368170602352,0.0295218932378567
40,26,0.01,9,0.21016683790222,0.37403732710118,0.0470977154332117
20,27,0.0108028613977113,8,0.220969699299931,0.332936717405159,0.03797337016681
21,27,0.01,9,0.21016683790222,0.341131692629602,0.033641685589174
22,27,0.0108654833319461,7,0.231835182631877,0.360297643506385,0.0488556068928009
23,27,0.0108654833319461,7,0.231835182631877,0.346272050011357,0.0352225452519321
24,27,0.01,9,0.21016683790222,0.330325611758419,0.0314387187704482
25,27,0.01,9,0.21016683790222,0.343075688374731,0.0378326457668941
26,27,0.01,9,0.21016683790222,0.344132203810404,0.0453152958920664
27,27,0.01,9,0.21016683790222,0.328023264309768,0.0352101814399164
28,27,0.0108654833319461,7,0.231835182631877,0.339790264992165,0.0357128157831796
29,27,0.0108028613977113,8,0.220969699299931,0.349024463262831,0.0481745633698163
30,27,0.01,9,0.21016683790222,0.325218281212406,0.0362887728087313
31,27,0.01,9,0.21016683790222,0.373295470289252,0.0452118422184926
32,27,0.0108654833319461,7,0.231835182631877,0.326682193471695,0.0252467931304652
33,27,0.0109316456393027,6,0.24276682827118,0.322780669506641,0.0323180167948067
34,27,0.0108028613977113,8,0.220969699299931,0.356159631518537,0.0362915166699002
35,27,0.01,9,0.21016683790222,0.327863002180314,0.0325731249037036
36,27,0.01,9,0.21016683790222,0.333682416827756,0.0271002644795227
37,27,0.01,9,0.21016683790222,0.340996566197081,0.0290125685987236
38,27,0.01,9,0.21016683790222,0.36640184974859,0.0350232179842839
39,27,0.01,9,0.21016683790222,0.320505216389794,0.0303305840521053
40,27,0.01,9,0.21016683790222,0.339461148678033,0.0343895079794072
20,28,0.01,9,0.21016683790222,0.338615311762932,0.0399881208717032
21,28,0.0108028613977113,8,0.220969699299931,0.37264880161562,0.0495958312732811
22,28,0.01,9,0.21016683790222,0.321801706370211,0.0320627225498962
23,28,0.0108028613977113,8,0.220969699299931,0.337784177947776,0.0319216914015349
24,28,0.0108654833319461,7,0.231835182631877,0.345074205401745,0.0307710966104756
25,28,0.0108654833319461,7,0.231835182631877,0.384938445019568,0.0432241403717503
26,28,0.0109316456393027,6,0.24276682827118,0.372170724429848,0.04777294185199
27,28,0.01,9,0.21016683790222,0.376157571899584,0.0496485295796889
28,28,0.0109316456393027,6,0.24276682827118,0.348639221235507,0.0373480199944416
29,28,0.01,9,0.21016683790222,0.33768818603689,0.0311352432772001
30,28,0.01,9,0.21016683790222,0.330499505694088,0.0331185423681334
31,28,0.0108028613977113,8,0.220969699299931,0.357913302399813,0.0430991213729565
32,28,0.01,9,0.21016683790222,0.316732110232767,0.0262072823148692
33,28,0.0108028613977113,8,0.220969699299931,0.373882087262794,0.0440180798150017
34,28,0.01,9,0.21016683790222,0.335591331873988,0.0322744897723189
35,28,0.0108028613977113,8,0.220969699299931,0.344432349493577,0.0443061206044284
36,28,0.01,9,0.21016683790222,0.345612582646742,0.0308860835840438
37,28,0.01,9,0.21016683790222,0.316621854702703,0.0254808384940932
38,28,0.01,9,0.21016683790222,0.357607625417,0.0409315559289959
39,28,0.01,9,0.21016683790222,0.381701524464175,0.0492424799324107
40,28,0.0108028613977113,8,0.220969699299931,0.345309747535712,0.0311478758716827
20,29,0.01,9,0.21016683790222,0.401359719457367,0.0522198162541949
21,29,0.01,9,0.21016683790222,0.350903613456556,0.0309719852320992
22,29,0.0108654833319461,7,0.231835182631877,0.354422200137555,0.0387364182906894
23,29,0.01,9,0.21016683790222,0.320941756573819,0.0379749520429908
24,29,0.0108654833319461,7,0.231835182631877,0.360036628942568,0.0352927067799263
25,29,0.01,9,0.21016683790222,0.347472865943873,0.0300642689253934
26,29,0.01,9,0.21016683790222,0.334096574447363,0.0299756944777891
27,29,0.0108654833319461,7,0.231835182631877,0.365168648474684,0.0457405337703365
28,29,0.0108654833319461,7,0.231835182631877,0.327286186665774,0.0414059445631835
29,29,0.01,9,0.21016683790222,0.311013068122202,0.0269435900683705
30,29,0.01,9,0.21016683790222,0.371778285308453,0.0450069016799647
31,29,0.01,9,0.21016683790222,0.356953076144176,0.0454839923314707
32,29,0.01,9,0.21016683790222,0.359739698410683,0.03803078028685
33,29,0.01,9,0.21016683790222,0.324427642320029,0.0267745361633124
34,29,0.01,9,0.21016683790222,0.373516417751968,0.045666858029991
35,29,0.01,9,0.21016683790222,0.388218686709428,0.0523765180907675
36,29,0.0108654833319461,7,0.231835182631877,0.385352364904443,0.0450353536604823
37,29,0.01,9,0.21016683790222,0.334285946727786,0.0282808391095356
38,29,0.0108028613977113,8,0.220969699299931,0.337764842810832,0.0311383089605915
39,29,0.0109316456393027,6,0.24276682827118,0.337482628860693,0.0290890507039545
40,29,0.01,9,0.21016683790222,0.337009943186694,0.0336238521413169
20,30,0.01,9,0.21016683790222,0.358963491552785,0.0443246393342711
21,30,0.0108654833319461,7,0.231835182631877,0.355635311335395,0.0332557374789486
22,30,0.01,9,0.21016683790222,0.371054388842573,0.043945842663193
23,30,0.01,9,0.21016683790222,0.326229593420796,0.0391371800234814
24,30,0.01,9,0.21016683790222,0.350948715152147,0.0367588378670896
25,30,0.01,9,0.21016683790222,0.309011757948425,0.0262572578664768
26,30,0.0108654833319461,7,0.231835182631877,0.351370612781279,0.0407184943782323
27,30,0.01,9,0.21016683790222,0.327071617561865,0.0292930199927873
28,30,0.01,9,0.21016683790222,0.365535997765596,0.051155266143631
29,30,0.01,9,0.21016683790222,0.343367374217474,0.0333795349147374
30,30,0.01,9,0.21016683790222,0.347289558709737,0.042733480080935
31,30,0.01,9,0.21016683790222,0.346673304721521,0.0350240510511504
32,30,0.01,9,0.21016683790222,0.352262989383176,0.0458296421199362
33,30,0.01,9,0.21016683790222,0.342379052571434,0.0409685441360291
34,30,0.01,9,0.21016683790222,0.352413019559544,0.0441744813875109
35,30,0.01,9,0.21016683790222,0.335686697239038,0.0291900261090987
36,30,0.01,9,0.21016683790222,0.33714774189431,0.0309857455228441
37,30,0.0108654833319461,7,0.231835182631877,0.337412820421469,0.0303147029656505
