minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
29,27,0.0171180915103246,5,0.170675391793248,0.291882435886946,0.0414905307994265
33,28,0.01,7,0.141421302107851,0.292080999894184,0.0359168724532737
40,34,0.01,6,0.175015414588383,0.292629212508847,0.0352232676338839
29,26,0.01,7,0.141421302107851,0.293321274362352,0.0331261419281767
22,23,0.0121359981750721,6,0.153557300282924,0.293576614809931,0.0363264217346044
26,31,0.0171180915103246,5,0.170675391793248,0.293934071690852,0.0369712898321587
21,27,0.01,7,0.141421302107851,0.294054297399386,0.0370356900769388
25,35,0.0121359981750721,6,0.153557300282924,0.294175495415064,0.0379339889769842
28,33,0.01,7,0.141421302107851,0.294372388800756,0.0368163604488444
30,27,0.0121359981750721,6,0.153557300282924,0.294389022995407,0.0337533311884907
38,37,0.01,6,0.175015414588383,0.295123492725161,0.0360522230134612
27,32,0.0171180915103246,5,0.170675391793248,0.29516007773421,0.0346920706654658
21,23,0.01,7,0.141421302107851,0.295350187177169,0.0418029133085812
27,33,0.0171180915103246,5,0.170675391793248,0.295357819357912,0.0361504050019185
39,23,0.01,6,0.175015414588383,0.295999419492172,0.0316844609056152
22,28,0.0121359981750721,6,0.153557300282924,0.296115520917538,0.0350644312053434
28,32,0.0121359981750721,6,0.153557300282924,0.296312545855267,0.0361187529017585
27,23,0.0171180915103246,5,0.170675391793248,0.296536774803008,0.0352116678837076
32,37,0.0171180915103246,5,0.170675391793248,0.296805866950073,0.0412809176909001
35,32,0.0121359981750721,5,0.187151412763455,0.296867193578884,0.0343888884443284
36,33,0.0171180915103246,4,0.20426950427378,0.297448021957651,0.036841243491137
37,39,0.01,6,0.175015414588383,0.29747598971408,0.038777753482277
33,36,0.0171180915103246,5,0.170675391793248,0.297756092131852,0.0342684599073322
23,29,0.01,7,0.141421302107851,0.298332961333583,0.0403243904528433
32,35,0.0171180915103246,5,0.170675391793248,0.298400067281955,0.0363138947899472
28,27,0.0121359981750721,6,0.153557300282924,0.299118713155867,0.0407576751156278
38,35,0.01,6,0.175015414588383,0.299144433244851,0.0375422924677561
21,24,0.0171180915103246,5,0.170675391793248,0.299568733139837,0.0349481864677997
35,33,0.0171180915103246,4,0.20426950427378,0.299718346325913,0.0449937931996529
24,37,0.0335941124805318,4,0.20426950427378,0.300346477807494,0.0390920373603011
25,28,0.0171180915103246,5,0.170675391793248,0.300361144425857,0.0375909095873689
29,21,0.0121359981750721,6,0.153557300282924,0.300411747601329,0.0395222616046157
26,32,0.01,7,0.141421302107851,0.300566460105046,0.0370059030635286
26,26,0.0171180915103246,5,0.170675391793248,0.300738723811659,0.0382810593601636
39,22,0.01,6,0.175015414588383,0.301259351611684,0.0348814886306147
28,37,0.0171180915103246,5,0.170675391793248,0.301374574814986,0.0369743473698681
29,31,0.01,7,0.141421302107851,0.301516537756945,0.0357451430465114
31,34,0.0121359981750721,6,0.153557300282924,0.301703215354676,0.0363954000054277
35,40,0.01,6,0.175015414588383,0.302096886755753,0.0358561192504518
38,40,0.01,6,0.175015414588383,0.302120998862345,0.0400687151508491
30,32,0.0171180915103246,5,0.170675391793248,0.302170772819017,0.0368966482373664
36,23,0.01,6,0.175015414588383,0.302627066455505,0.0376556853226097
31,32,0.0121359981750721,6,0.153557300282924,0.302957413896918,0.0358096851721306
29,23,0.0171180915103246,5,0.170675391793248,0.303086588759724,0.0359577146704701
32,31,0.0171180915103246,5,0.170675391793248,0.303101340928812,0.0371824865211774
37,21,0.0121359981750721,5,0.187151412763455,0.303178683889351,0.0397537346698558
25,24,0.0121359981750721,6,0.153557300282924,0.303379831254394,0.0398288822018258
25,31,0.0171180915103246,5,0.170675391793248,0.303386899924405,0.0365072013105832
34,35,0.0171180915103246,4,0.20426950427378,0.303880442467468,0.0383157767971845
34,32,0.01,6,0.175015414588383,0.304069054700306,0.0420613432880141
35,36,0.01,6,0.175015414588383,0.304337595914777,0.0356430309395441
34,26,0.01,6,0.175015414588383,0.304676362184373,0.0373664199859661
40,21,0.01,6,0.175015414588383,0.304784463070438,0.0399276649278782
21,30,0.0171180915103246,5,0.170675391793248,0.304796324262905,0.0368013498232098
37,28,0.01,6,0.175015414588383,0.304814805594484,0.0396707686233697
23,32,0.0171180915103246,5,0.170675391793248,0.304843171204672,0.0357340091968691
33,30,0.01,7,0.141421302107851,0.304971165018542,0.0352363804262758
25,40,0.0121359981750721,6,0.153557300282924,0.305011512793313,0.0377361063055775
36,38,0.01,6,0.175015414588383,0.305024245836638,0.0393880470879862
36,31,0.0121359981750721,5,0.187151412763455,0.305028055782645,0.0360693612074319
24,38,0.0335941124805318,4,0.20426950427378,0.305097628259703,0.0418389854077012
