splitrule,mtry,min.node.size,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
variance,700,8,45470.876527206,0.707471911914791,33787.4035605267,5182.93474098206,0.0181088114383291,2263.3752539291
variance,700,9,45389.1670635027,0.704917474462992,34035.5189377815,5169.14777516506,0.0163847415912104,1981.15909253116
variance,700,10,45674.8294639969,0.702342612344141,34166.0237280645,5263.87496244144,0.0184400018629785,2086.88276890886
variance,750,6,45489.1986280885,0.703256909687946,34057.0855399034,5428.92638340919,0.0157533870102876,2147.10941095722
variance,750,7,45540.3736097081,0.7037171654806,33996.0945701962,4797.58861932296,0.0227164163142187,1697.06592568734
variance,750,8,45689.2528940956,0.70163739239579,34154.0165080989,5716.07433741681,0.0138895003576716,2423.63588345294
variance,750,9,45563.5256269335,0.704051986817733,34136.7564374241,5717.48478440108,0.0166050851708758,2118.78206822073
variance,750,10,45321.5566907796,0.707890850885385,33974.0836910197,4883.28091310778,0.0212916501403355,1804.78814282196
variance,800,6,45315.6714119766,0.707752367558893,34017.1198968634,4941.61589861066,0.0206014535727474,1846.72178513694
variance,800,7,45759.159356357,0.700454327026928,34005.1762130045,5200.69546157806,0.0223215413407887,1915.4919028456
variance,800,8,45360.3334250088,0.705028095137131,34007.1902061973,4629.70443609948,0.0259040523154493,1595.36364274627
variance,800,9,45500.800164653,0.704936836883978,33977.7061500068,5766.788346816,0.0192436602126437,2387.95357686048
variance,800,10,45763.5161773265,0.702034123777785,34216.3113414767,5490.75457891793,0.0147575009079449,2147.90689319714
variance,850,6,45139.7777129787,0.711462621179078,33675.8570102348,4937.79014762647,0.0228108337565213,1879.02835423764
variance,850,7,45384.5627831364,0.70520930473161,33980.722500202,4915.43858274288,0.0252328408512926,1855.55557155972
variance,850,8,45083.342566817,0.711912375377505,33619.0124945725,5090.53936480334,0.0173179771023297,2046.98014372602
variance,850,9,45396.8383406945,0.707293982125398,34015.9617887116,5615.54918145163,0.0136461890269804,2286.38328719969
variance,850,10,45224.5854602347,0.706581851907002,33748.8357250944,5647.8896718839,0.0166603951588361,2383.66854215875
variance,900,6,45494.2998884036,0.705188836122207,33876.2865458756,5369.17104872196,0.0219344588070085,2019.5407961206
variance,900,7,45360.6456687859,0.70653782411074,34002.9017385914,5032.42156746171,0.0216737235949053,1735.02180203396
variance,900,8,45162.3694424824,0.709806741027547,33771.078097538,5022.10788730786,0.0194090609369785,1853.73007187932
variance,900,9,45092.0541166745,0.708200762544915,33762.4207496489,5400.06857042304,0.0162977504056538,2366.55219527569
variance,900,10,45339.5262948023,0.705516145923363,33947.3302572043,5641.09350299486,0.0197455577846729,2502.98298501356
variance,950,6,45037.8228917737,0.709172808059739,33714.152775798,5401.04630299158,0.0134979658102036,2212.56394806836
variance,950,7,45539.4073102858,0.701188672503044,33995.7507190532,4821.24569817501,0.0219598532785667,2112.95026908749
variance,950,8,45130.4650379544,0.711916689680886,33851.1023449552,5213.67387986519,0.0175330761091322,1990.07077713199
variance,950,9,45517.7475795602,0.702209700882905,34142.5032991364,5247.54329185423,0.0183433261075196,1755.51310579404
variance,950,10,45478.1709666039,0.703958473059925,34057.1264770546,5150.11167600887,0.0208415744432984,1943.1406994732
variance,1000,6,45289.5732830357,0.707822020123055,33712.4756769148,5220.5920377132,0.0220516983879464,2032.2898310872
variance,1000,7,45619.5591133116,0.70188321446634,33959.1029240973,5202.96843443159,0.0144010512029207,2036.78596447497
variance,1000,8,45044.1500808773,0.707985823628065,33668.0270789233,5250.52412696547,0.0226739802785349,2091.53394645915
variance,1000,9,45291.4474127541,0.705468149229243,33789.6701862351,5431.01583584247,0.011830560236296,2192.36994724422
variance,1000,10,45387.2734949782,0.704813715382095,33989.5781911341,5118.14731556774,0.0204008708888059,1976.91975643258
